Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Immigration,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a02913391af658ab135f7aa,69f102565e35e23d92553f24,AWAITING REVIEW,Not Applicable,2026-05-12T02:32:23.626000Z,2026-05-12T03:15:17.232000Z,,2026-05-12T03:15:33.094935Z,2574,C1LPI4FX,52,"English, Urdu, Hindi, Gujarati","No, I moved to the country I am now living in",35,Female,Asian,India,Canada,India,Hindi,No,Part-Time
6a02913ea2a2dd41b9df99df,69fd4bcdc749a26768dd1493,AWAITING REVIEW,Not Applicable,2026-05-12T02:32:49.934000Z,2026-05-12T03:16:16.875000Z,,2026-05-12T03:16:17.481163Z,2607,C1LPI4FX,143,English,"Yes, I was born in the country I am now living in",29,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
