Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Immigration,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69fd08dc084300ec94a917c3,69f095b706facc9cd1f2c5b7,AWAITING REVIEW,Not Applicable,2026-05-07T21:49:20.317000Z,2026-05-07T22:37:18.467000Z,,2026-05-07T22:37:18.960674Z,2879.0,C1LPI4FX,29,English,"No, I moved to the country I am now living in",28,Female,Black,Nigeria,Canada,Canada,English,No,Full-Time
69fd0aaf8716d871793a0174,65e975039c7865e835a2936c,AWAITING REVIEW,Not Applicable,2026-05-07T21:58:17.737000Z,2026-05-07T22:53:22.332000Z,,2026-05-07T22:53:22.818624Z,3305.0,C1LPI4FX,2836,English,"Yes, I was born in the country I am now living in",26,Male,White,United States,United States,United States,English,No,Other
69fd189d1ed5198b5e94e80d,6997657c634ff1298999e05a,AWAITING REVIEW,Not Applicable,2026-05-07T22:56:44.188000Z,2026-05-07T23:56:21.456000Z,,2026-05-07T23:56:23.575925Z,3578.0,C1LPI4FX,590,English,"Yes, I was born in the country I am now living in",48,Female,White,Canada,Canada,Canada,English,No,Full-Time
69fd1f67434087284c292ff6,69faac84343828d3da9d2546,AWAITING REVIEW,Not Applicable,2026-05-07T23:25:31.603000Z,2026-05-07T23:57:03.618000Z,,2026-05-07T23:57:07.934989Z,1893.0,C1LPI4FX,2,English,"No, I moved to the country I am now living in",39,Male,Mixed,Trinidad and Tobago,United States,United States,English,No,Full-Time
